AttachmentAssetLanguage
attachmentIdentifier,assetPath,languageId,delete
EmailBottom_Content,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/images/advertisements/en_US/14B_EHT_FreeShipping_002.jpg,-1,0
EmailBottom_Content,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/images/advertisements/de_DE/14B_EHT_FreeShipping_002.jpg,-3,0
EmailBottom_Content,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/images/advertisements/es_ES/14B_EHT_FreeShipping_002.jpg,-5,0
EmailBottom_Content,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/images/advertisements/fr_FR/14B_EHT_FreeShipping_002.jpg,-2,0
EmailBottom_Content,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/images/advertisements/it_IT/14B_EHT_FreeShipping_002.jpg,-4,0
EmailBottom_Content,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/images/advertisements/pt_BR/14B_EHT_FreeShipping_002.jpg,-6,0
EmailBottom_Content,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/images/advertisements/ja_JP/14B_EHT_FreeShipping_002.jpg,-10,0
EmailBottom_Content,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/images/advertisements/zh_CN/14B_EHT_FreeShipping_002.jpg,-7,0
EmailBottom_Content,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/images/advertisements/zh_TW/14B_EHT_FreeShipping_002.jpg,-8,0
EmailBottom_Content,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/images/advertisements/ro_RO/14B_EHT_FreeShipping_002.jpg,-21,0
EmailBottom_Content,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/images/advertisements/ru_RU/14B_EHT_FreeShipping_002.jpg,-20,0
WomenLandingPage_Atct_brand1,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/rwdWebAssets/womenLandingPage/brands/gusso.png,-1,0
WomenLandingPage_Atct_brand1,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/rwdWebAssets/womenLandingPage/brands/gusso.png,-2,0
WomenLandingPage_Atct_brand1,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/rwdWebAssets/womenLandingPage/brands/gusso.png,-3,0
WomenLandingPage_Atct_brand1,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/rwdWebAssets/womenLandingPage/brands/gusso.png,-4,0
WomenLandingPage_Atct_brand1,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/rwdWebAssets/womenLandingPage/brands/gusso.png,-5,0
WomenLandingPage_Atct_brand1,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/rwdWebAssets/womenLandingPage/brands/gusso.png,-6,0
WomenLandingPage_Atct_brand1,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/rwdWebAssets/womenLandingPage/brands/gusso.png,-7,0
WomenLandingPage_Atct_brand1,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/rwdWebAssets/womenLandingPage/brands/gusso.png,-8,0
WomenLandingPage_Atct_brand1,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/rwdWebAssets/womenLandingPage/brands/gusso.png,-10,0
WomenLandingPage_Atct_brand1,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/rwdWebAssets/womenLandingPage/brands/gusso.png,-20,0
WomenLandingPage_Atct_brand1,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/rwdWebAssets/womenLandingPage/brands/gusso.png,-21,0
WomenLandingPage_Atct_brand2,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/rwdWebAssets/womenLandingPage/brands/lv.png,-1,0
WomenLandingPage_Atct_brand2,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/rwdWebAssets/womenLandingPage/brands/lv.png,-2,0
WomenLandingPage_Atct_brand2,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/rwdWebAssets/womenLandingPage/brands/lv.png,-3,0
WomenLandingPage_Atct_brand2,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/rwdWebAssets/womenLandingPage/brands/lv.png,-4,0
WomenLandingPage_Atct_brand2,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/rwdWebAssets/womenLandingPage/brands/lv.png,-5,0
WomenLandingPage_Atct_brand2,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/rwdWebAssets/womenLandingPage/brands/lv.png,-6,0
WomenLandingPage_Atct_brand2,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/rwdWebAssets/womenLandingPage/brands/lv.png,-7,0
WomenLandingPage_Atct_brand2,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/rwdWebAssets/womenLandingPage/brands/lv.png,-8,0
WomenLandingPage_Atct_brand2,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/rwdWebAssets/womenLandingPage/brands/lv.png,-10,0
WomenLandingPage_Atct_brand2,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/rwdWebAssets/womenLandingPage/brands/lv.png,-20,0
WomenLandingPage_Atct_brand2,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/rwdWebAssets/womenLandingPage/brands/lv.png,-21,0
WomenLandingPage_Atct_brand3,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/rwdWebAssets/womenLandingPage/brands/versatil.png,-1,0
WomenLandingPage_Atct_brand3,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/rwdWebAssets/womenLandingPage/brands/versatil.png,-2,0
WomenLandingPage_Atct_brand3,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/rwdWebAssets/womenLandingPage/brands/versatil.png,-3,0
WomenLandingPage_Atct_brand3,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/rwdWebAssets/womenLandingPage/brands/versatil.png,-4,0
WomenLandingPage_Atct_brand3,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/rwdWebAssets/womenLandingPage/brands/versatil.png,-5,0
