AttachmentAsset,,,
attachmentIdentifier,assetPath,directoryPath,delete
HeaderStoreLogo,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/images/logo.png,images/logo.png,0
EmailBanner,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/images/emailLogo.png,images/emailLogo.png,0
EmailBottom_Content,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/images/advertisements/en_US/14B_EHT_FreeShipping_002.jpg,images/advertisements/en_US/14B_EHT_FreeShipping_002.jpg,0
EmailBottom_Content,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/images/advertisements/de_DE/14B_EHT_FreeShipping_002.jpg,images/advertisements/de_DE/14B_EHT_FreeShipping_002.jpg,0
EmailBottom_Content,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/images/advertisements/es_ES/14B_EHT_FreeShipping_002.jpg,images/advertisements/es_ES/14B_EHT_FreeShipping_002.jpg,0
EmailBottom_Content,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/images/advertisements/fr_FR/14B_EHT_FreeShipping_002.jpg,images/advertisements/fr_FR/14B_EHT_FreeShipping_002.jpg,0
EmailBottom_Content,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/images/advertisements/it_IT/14B_EHT_FreeShipping_002.jpg,images/advertisements/it_IT/14B_EHT_FreeShipping_002.jpg,0
EmailBottom_Content,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/images/advertisements/pt_BR/14B_EHT_FreeShipping_002.jpg,images/advertisements/pt_BR/14B_EHT_FreeShipping_002.jpg,0
EmailBottom_Content,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/images/advertisements/ja_JP/14B_EHT_FreeShipping_002.jpg,images/advertisements/ja_JP/14B_EHT_FreeShipping_002.jpg,0
EmailBottom_Content,https://my4.digitalexperience.ibm.com/30817b50-78a2-4463-b5e2-2d7c39231327/dxdam/AuroraStorefrontAssetStore/images/advertisements/zh_CN/14B_EHT_FreeShipping_002.jpg,images/advertisements/zh_CN/14B_EHT_FreeShipping_002.jpg,0
